序号,原句,术语,原句翻译,原句术语翻译,bert替换变异,替换术语,替换翻译,替换术语翻译,原句术语翻译,gpt建议,请问这组替换变异是否存在术语翻译一致的错误
63,You might be waiting a while for one of these to pull up at the local bus stop.,bus stop,您可能需要等待一段时间才能等到其中一辆巴士在当地的公交车站停靠。,['公交车站。'],"['You might be waiting a while for one of these to pull up at the local rest stop.', 'You might be waiting a while for one of these to pull up at the local truck stop.', 'You might be waiting a while for one of these to pull up at the local bus station.']","['rest stop', 'truck stop', 'bus station']","['您可能需要等待一段时间才能看到其中一辆车辆抵达当地的休息站。', '您可能需要等待一段时间才能看到其中一辆卡车停在当地的卡车停靠站。', '您可能需要等待一段时间才能等到其中一辆巴士在当地的公交车站停靠。']","['休息站。', '卡车停靠站。', '公交车站。']",['公交车站。'],"{'bus station': 'NO\nDifferent translations: <bus stop: 公交车站, bus station: 公交车站>'}",
64,Study on the flow conditions at the entrance area of shiplock approach channel in hydro-power station,power station,水电站船闸引航道口门区水流条件研究,['水电站'],['Study on the flow conditions at the entrance area of shiplock approach channel in hydro-electric station'],['electric station'],['水电站船闸引航道口门区水流条件研究'],['水电站'],['水电站'],"{'electric station': 'NO\nDifferent translations: <power station: 发电站, electric station: 电站>'}",
65,"It is also the strongest typhoon to hit Hainan since 2005, said Cai Qinbo, head of the provincial weather station.",weather station,省气象台台长蔡钦波说，这也是2005年以来袭击海南的最强台风。,['气象台。'],"['It is also the strongest typhoon to hit Hainan since 2005, said Cai Qinbo, head of the provincial radio station.', 'It is also the strongest typhoon to hit Hainan since 2005, said Cai Qinbo, head of the provincial television station.', 'It is also the strongest typhoon to hit Hainan since 2005, said Cai Qinbo, head of the provincial police station.', 'It is also the strongest typhoon to hit Hainan since 2005, said Cai Qinbo, head of the provincial weather department.', 'It is also the strongest typhoon to hit Hainan since 2005, said Cai Qinbo, head of the provincial weather agency.']","['radio station', 'television station', 'police station', 'weather department', 'weather agency']","['省人民广播电台台长蔡钦波说，这也是2005年以来袭击海南的最强台风。', '省电视台台长蔡钦波说，这也是2005年以来袭击海南的最强台风。', '省公安厅厅长蔡钦波说，这也是2005年以来袭击海南岛的最强台风。', '省气象部门负责人蔡钦波说，这也是2005年以来袭击海南的最强台风。', '海南省气象台台长蔡钦波说，这也是2005年以来袭击海南的最强台风。']","['广播电台。', '电视台。', '省公安厅。', '气象部门。', '气象台。']",['气象台。'],"{'weather agency': 'NO\nDifferent translations: <weather station: 气象台, weather agency: 气象机构>'}",
66,"(e) any hospital or nursing home, or any home for convalescents or for elderly or disabled persons, or any other premises used for the provision of sleeping accommodation to any class of persons under authority given by or with the recognition of the Secretary for Health and Welfare.",nursing home,(e) 任何医院或护养院，或任何疗养院、安老院或残疾人士院，或任何其他根据卫生福利局局长的授权或认可而用作向任何类别人士提供宿舍的处所。,['护养院，'],"['(e) any hospital or retirement home, or any home for convalescents or for elderly or disabled persons, or any other premises used for the provision of sleeping accommodation to any class of persons under authority given by or with the recognition of the Secretary for Health and Welfare.', '(e) any hospital or nursing house, or any home for convalescents or for elderly or disabled persons, or any other premises used for the provision of sleeping accommodation to any class of persons under authority given by or with the recognition of the Secretary for Health and Welfare.']","['retirement home', 'nursing house']","['(e) 任何医院或养老院，或任何疗养院、安老院或残疾人士院，或任何其他根据卫生福利局局长的授权或认可而用作向任何类别人士提供宿舍的处所。', '(e) 任何医院或护养院，或任何疗养院、安老院或残疾人士院，或任何其他根据卫生福利局局长的授权或认可而用作向任何类别人士提供宿舍的处所。']","['养老院，', '护养院，']",['护养院，'],"{'nursing house': 'NO\nDifferent translations: <nursing home: 护养院, nursing house: 护理院>'}",
67,"Article 8 The time limit for institution of legal proceedings pertaining to disputes over the right to inheritance is two years, counting from the day the successor became or should have become aware of the violation of his right to inheritance.",time limit,第八条 继承权纠纷提起诉讼的期限为二年，自继承人知道或者应当知道继承权受到侵犯之日起计算。,['期限'],"['Article 8 The age limit for institution of legal proceedings pertaining to disputes over the right to inheritance is two years, counting from the day the successor became or should have become aware of the violation of his right to inheritance.', 'Article 8 The term limit for institution of legal proceedings pertaining to disputes over the right to inheritance is two years, counting from the day the successor became or should have become aware of the violation of his right to inheritance.', 'Article 8 The time period for institution of legal proceedings pertaining to disputes over the right to inheritance is two years, counting from the day the successor became or should have become aware of the violation of his right to inheritance.']","['age limit', 'term limit', 'time period']","['第八条 因继承权纠纷提起诉讼的年龄为二年，自继承人知道或者应当知道继承权受到侵犯之日起计算。', '第八条 继承权纠纷提起诉讼的期限为二年，自继承人知道或者应当知道继承权受到侵犯之日起计算。', '第八条 继承权纠纷提起诉讼的期限为二年，自继承人知道或者应当知道继承权受到侵犯之日起计算。']","['年龄', '期限', '期限']",['期限'],"{'term limit': 'NO\nDifferent translations: <time limit: 时限, term limit: 条款限制>.', 'time period': 'NO\nDifferent translations: \ntime limit: 期限\ntime period: 时间段'}",
68,"As a case in point of alcohol wastewater treatment MIC reactor, the digested sludge of municipal sewage factory was used to start-up MIC reactor. The process was divided into three stages: the sludge taming, the granular sludge forming and its maturing.",case in point,以酒精废水处理MIC反应器为例，利用城市污水厂消化污泥启动MIC反应器。整个过程分为污泥驯化、颗粒污泥形成和熟化三个阶段。,['为例'],"['As a case in case of alcohol wastewater treatment MIC reactor, the digested sludge of municipal sewage factory was used to start-up MIC reactor. The process was divided into three stages: the sludge taming, the granular sludge forming and its maturing.']",['case in case'],['以酒精废水处理MIC反应器为例，利用城市污水厂消化污泥启动MIC反应器。整个过程分为污泥驯化、颗粒污泥形成和熟化三个阶段。'],['为例'],['为例'],"{'case in case': 'NO\nDifferent translations: <case in point: 为例, case in case: 作为一个案例>'}",
69,"People hope it can meet the financial demands of the state-run business, shoulder the great financial risks of the state-run bank as well as allocate the resources properly and promote the transfer of enterprises' operating system.",operating system,人们希望它能够满足国有企业的金融需求，分担国有银行的巨大金融风险，合理配置资源，促进企业经营体制的转变。,['经营体制。'],"[""People hope it can meet the financial demands of the state-run business, shoulder the great financial risks of the state-run bank as well as allocate the resources properly and promote the transfer of enterprises' credit system."", ""People hope it can meet the financial demands of the state-run business, shoulder the great financial risks of the state-run bank as well as allocate the resources properly and promote the transfer of enterprises' financing system."", ""People hope it can meet the financial demands of the state-run business, shoulder the great financial risks of the state-run bank as well as allocate the resources properly and promote the transfer of enterprises' management system."", ""People hope it can meet the financial demands of the state-run business, shoulder the great financial risks of the state-run bank as well as allocate the resources properly and promote the transfer of enterprises' operating assets."", ""People hope it can meet the financial demands of the state-run business, shoulder the great financial risks of the state-run bank as well as allocate the resources properly and promote the transfer of enterprises' operating capital."", ""People hope it can meet the financial demands of the state-run business, shoulder the great financial risks of the state-run bank as well as allocate the resources properly and promote the transfer of enterprises' operating power.""]","['credit system', 'financing system', 'management system', 'operating assets', 'operating capital', 'operating power']","['人们希望它能够满足国有企业的金融需求，分担国有银行的巨大金融风险，合理配置资源，促进企业信用体系的转变。', '人们希望它能够满足国有企业的融资需求，分担国有银行的巨大金融风险，合理配置资源，促进企业融资体制的转变。', '人们希望它能够满足国有企业的金融需求，分担国有银行的巨大金融风险，合理配置资源，促进企业经营体制的转轨。', '人们希望它能够满足国有企业的金融需求，分担国有银行的巨大金融风险，合理配置资源，促进企业经营性资产的转移。', '人们希望它能够满足国有企业的金融需求，分担国有银行的巨大金融风险，合理配置资源，促进企业营运资本的转移。', '人们希望它能够满足国有企业的金融需求，分担国有银行的巨大金融风险，合理配置资源，促进企业经营权的转移。']","['企业信用体系。', '融资体制。', '经营体制。', '经营性资产。', '营运资本。', '经营权。']",['经营体制。'],"{'management system': 'NO\nDifferent translations: <operating system: 运行系统, management system: 管理体制>'}",
70,Late systolic murmurs begin in midsystole and extend to or through S2. They may be heard in mitral valve prolapse (frequently accompanied by midsystolic clicks) or coarctation of the aorta.,mitral valve,收缩晚期杂音始于收缩中期，延伸至或穿过 S2。在二尖瓣脱垂（经常伴有收缩中期喀喇音）或主动脉缩窄时可听到。,['二尖瓣'],"['Late systolic murmurs begin in midsystole and extend to or through S2. They may be heard in mitral cell prolapse (frequently accompanied by midsystolic clicks) or coarctation of the aorta.', 'Late systolic murmurs begin in midsystole and extend to or through S2. They may be heard in mitral artery prolapse (frequently accompanied by midsystolic clicks) or coarctation of the aorta.']","['mitral cell', 'mitral artery']","['晚期收缩期杂音始于收缩中期，延伸至或穿过 S2。在二尖瓣脱垂（经常伴有收缩中期喀喇音）或主动脉缩窄时可听到。', '晚期收缩期杂音始于收缩中期，延伸至或穿过 S2。在二尖瓣脱垂（常伴有收缩中期喀喇音）或主动脉缩窄时可听到。']","['二尖瓣', '二尖瓣']",['二尖瓣'],"{'mitral cell': 'NO\nDifferent translations: <mitral valve: 二尖瓣, mitral cell: 二尖细胞>', 'mitral artery': 'NO\nDifferent translations: <mitral valve: 二尖瓣, mitral artery: 二尖动脉>'}",
71,(4) An application made by a person authorized by a body corporate not possessing a common seal shall include a declaration by that person that the body concerned does not possess a common seal.,body corporate,(4) 由不具备法人印章的法人团体授权的人提出的申请，应当包括该人关于该法人团体不拥有法人印章的声明。,['团体'],"['(4) An application made by a person authorized by a company corporate not possessing a common seal shall include a declaration by that person that the body concerned does not possess a common seal.', '(4) An application made by a person authorized by a corporation corporate not possessing a common seal shall include a declaration by that person that the body concerned does not possess a common seal.']","['company corporate', 'corporation corporate']","['（4）由没有公章的公司法人授权的人提出的申请，应当包括该授权人有关机构没有公章的声明。', '（4）由没有公章的法人团体授权的人提出的申请，应当包括该人关于有关机构没有公章的声明。']","['公司法人', '团体']",['团体'],"{'corporation corporate': 'NO\nDifferent translations: <body corporate: 法人团体, corporation corporate: 公司团体>'}",
72,"A synchronous and diachronous overview of the Olympic ideal was made from the point of view of philosophy, sociolo-gy, and history on the original idea of the revival of modern Olympic Games and the development of modern Olympicmovement,the Eastern and Western culture,the history of human activities,and the requirement of future society.",Olympic Games,从哲学、社会学、历史学的角度，对现代奥林匹克运动复兴的初衷和现代奥林匹克运动的发展、东西方文化、现代奥林匹克运动的发展等进行了同步、历时的概述。人类活动的历史和未来社会的要求。,['奥林匹克运动奥林匹克运动'],"['A synchronous and diachronous overview of the Olympic ideal was made from the point of view of philosophy, sociolo-gy, and history on the original idea of the revival of modern Olympic sport and the development of modern Olympicmovement,the Eastern and Western culture,the history of human activities,and the requirement of future society.']",['Olympic sport'],['从哲学、社会学、历史学的角度对现代奥林匹克运动复兴的初衷和现代奥林匹克运动的发展、东西方文化、人类活动的历史和未来社会的要求。'],['奥林匹克运动'],['奥林匹克运动奥林匹克运动'],{},
73,"The Government of the special administrative region of Macau(SARM) has 8 percent of the company's capital, China Power International Holding Ltd has 6 percent and the remaining 2 percent are in the hands of 800 local shareholders.",administrative region,澳门特别行政区政府拥有该公司8％的资本，中国电力国际集团有限公司拥有6％，其余2％由800名当地股东持有。,['澳门特别行政区政府'],"[""The Government of the special administrative zone of Macau(SARM) has 8 percent of the company's capital, China Power International Holding Ltd has 6 percent and the remaining 2 percent are in the hands of 800 local shareholders."", ""The Government of the special administrative district of Macau(SARM) has 8 percent of the company's capital, China Power International Holding Ltd has 6 percent and the remaining 2 percent are in the hands of 800 local shareholders."", ""The Government of the special administrative area of Macau(SARM) has 8 percent of the company's capital, China Power International Holding Ltd has 6 percent and the remaining 2 percent are in the hands of 800 local shareholders.""]","['administrative zone', 'administrative district', 'administrative area']","['澳门特别行政区政府拥有该公司8％的资本，中国电力国际集团有限公司拥有6％，其余2％由800名当地股东持有。', '澳门特别行政区政府拥有该公司8％的资本，中国电力国际集团有限公司拥有6％，其余2％由800名当地股东持有。', '澳门特别行政区政府拥有该公司8％的资本，中国电力国际集团有限公司拥有6％，其余2％由800名当地股东持有。']","['澳门特别行政区政府', '澳门特别行政区政府', '澳门特别行政区政府']",['澳门特别行政区政府'],"{'administrative zone': 'NO\nDifferent translations: <administrative region: 行政区, administrative zone: 行政区>', 'administrative district': 'NO\nDifferent translations: <administrative region: 行政区, administrative district: 行政区>', 'administrative area': 'NO\nDifferent translations: <administrative region: 行政区, administrative area: 行政区域>'}",
74,Laws listed in Annex III to this Law shall be confined to those relating to defense and foreign affairs as well as other matters outside the limits of the autonomy of the Region as specified by this Law.,foreign affairs,本法附件三所列法律，仅限于有关国防、外交以及本法规定的香港特别行政区自治范围以外的其他事项的法律。,['外交'],"['Laws listed in Annex III to this Law shall be confined to those relating to defense and foreign policy as well as other matters outside the limits of the autonomy of the Region as specified by this Law.', 'Laws listed in Annex III to this Law shall be confined to those relating to defense and foreign relations as well as other matters outside the limits of the autonomy of the Region as specified by this Law.']","['foreign policy', 'foreign relations']","['本法附件三所列法律，仅限于有关国防、外交政策和本法规定不属于香港特别行政区自治范围的其他事项的法律。', '本法附件三所列法律，仅限于有关国防、外交和本法规定不属于香港特别行政区自治范围的其他事项的法律。']","['外交政策', '外交']",['外交'],"{'foreign relations': 'NO\nDifferent translations: <foreign affairs: 外交, foreign relations: 外交关系>'}",
75,No alteration shall be made during the franchise period to the memorandum or articles of association of a grantee without the approval of the Governor.,articles of association,在特许经营期间，未经总督批准，不得对受让人的组织大纲或章程进行任何修改。,['组织章程'],"['No alteration shall be made during the franchise period to the memorandum or letter of association of a grantee without the approval of the Governor.', 'No alteration shall be made during the franchise period to the memorandum or instrument of association of a grantee without the approval of the Governor.', 'No alteration shall be made during the franchise period to the memorandum or act of association of a grantee without the approval of the Governor.', 'No alteration shall be made during the franchise period to the memorandum or deed of association of a grantee without the approval of the Governor.', 'No alteration shall be made during the franchise period to the memorandum or letters of association of a grantee without the approval of the Governor.', 'No alteration shall be made during the franchise period to the memorandum or articles of contract of a grantee without the approval of the Governor.']","['letter of association', 'instrument of association', 'act of association', 'deed of association', 'letters of association', 'articles of contract']","['特许经营期间，未经总督批准，不得对特许经营人的组织章程大纲或章程细则进行任何修改。', '在专营期内，未经总督批准，不得对专营者的组织章程大纲或组织文件作出任何修改。', '特许经营期间，未经总督批准，不得对受让人的章程或组织章程进行任何修改。', '在专营期内，未经总督批准，不得对专营者的组织章程大纲或契约作出任何修改。', '特许经营期间，未经总督批准，不得对受让人的组织章程大纲或组织章程细则进行任何修改。', '特许经营期间，未经总督批准，不得对特许经营者的契约大纲或条款进行任何修改。']","['组织细则', '组织文件', '组织章程', '组织契约', '组织细则', '契约条款']",['组织章程'],"{'act of association': 'NO\nDifferent translations: <articles of association: 组织章程, act of association: 协会法>'}",
76,"In any of the following situations, the presiding hearer may decide to postpone the hearing: A party concerned is unable to be present due to causes of force majeure;",force majeure,有下列情形之一的，听证主持人可以决定延期审理： 当事人因不可抗力原因不能到场的；,['不可抗力；'],"['In any of the following situations, the presiding hearer may decide to postpone the hearing: A party concerned is unable to be present due to causes of state majeure;', 'In any of the following situations, the presiding hearer may decide to postpone the hearing: A party concerned is unable to be present due to causes of property majeure;', 'In any of the following situations, the presiding hearer may decide to postpone the hearing: A party concerned is unable to be present due to causes of public majeure;', 'In any of the following situations, the presiding hearer may decide to postpone the hearing: A party concerned is unable to be present due to causes of court majeure;']","['state majeure', 'property majeure', 'public majeure', 'court majeure']","['有下列情形之一的，听证主持人可以决定延期审理： 当事人因不可抗力原因不能到场的；', '有下列情形之一的，听证主持人可以决定延期审理： 当事人因不可抗力原因不能到场的；', '有下列情形之一的，听证主持人可以决定延期审理： 当事人因公共不可抗力原因不能到场的；', '有下列情形之一的，主持人可以决定延期审理： 当事人因法庭不可抗力原因不能到场的；']","['不可抗力；', '不可抗力；', '公共不可抗力；', '法庭不可抗力；']",['不可抗力；'],"{'state majeure': 'YES', 'property majeure': 'NO\nDifferent translations: <force majeure: 不可抗力, property majeure: 财产重大>'}",
77,（3）to get people to keep under control the place where the accident of occupational disease hazards has occurred.,occupational disease,（三）组织人员控制职业病危害事故发生场所。,['职业病'],"['（3）to get people to keep under control the place where the accident of occupational health hazards has occurred.', '（3）to get people to keep under control the place where the accident of occupational safety hazards has occurred.']","['occupational health', 'occupational safety']","['（三）组织人员对职业病危害事故发生场所进行控制。', '（3）组织人员对发生职业安全危害事故的现场进行控制。']","['职业病', '职业安全']",['职业病'],"{'occupational health': 'NO\nDifferent translations: <occupational disease: 职业病, occupational health: 职业健康>'}",
78,①Arteriosclerotic indexes in the hypertension accompanied by coronary heart disease and/or cerebrovascular disease group and diabetes accompanied by hypertension group were significantly higher than those in the normal control group(P < 0.01).,coronary heart disease,①高血压伴冠心病和（或）脑血管病组、糖尿病伴高血压组动脉硬化指标均显著高于正常对照组（P &lt; 0.01）。,['冠心病'],['①Arteriosclerotic indexes in the hypertension accompanied by coronary heart failure and/or cerebrovascular disease group and diabetes accompanied by hypertension group were significantly higher than those in the normal control group(P < 0.01).'],['coronary heart failure'],['①高血压伴有冠心病和（或）脑血管病组、糖尿病伴有高血压组动脉硬化指标显著高于正常对照组（P &lt; 0.01）。'],['冠心病'],['冠心病'],"{'coronary heart failure': 'NO\nDifferent translations: <coronary heart disease: 冠心病, coronary heart failure: 冠心衰竭>'}",
79,"(1A) Only a professional accountant, who shall on the day of the annual general meeting of the Society be ordinarily resident in Hong Kong, shall become a candidate for election as an elected member of the Council. (L.N. 359 of 1996)",annual general meeting,(1A) 只有在公会周年大会当日通常居住于香港的专业会计师，方可成为理事会民选理事的候选人。(1996年第359号法律公告),['周年大会'],"['(1A) Only a professional accountant, who shall on the day of the annual general conference of the Society be ordinarily resident in Hong Kong, shall become a candidate for election as an elected member of the Council. (L.N. 359 of 1996)']",['annual general conference'],['(1A) 只有在公会周年大会举行之日通常居住于香港的专业会计师，方可成为理事会民选理事的候选人。(1996年第359号法律公告)'],['周年大会'],['周年大会'],"{'annual general conference': 'NO\nDifferent translations: <annual general meeting: 年度股东大会, annual general conference: 年度大会>'}",
80,"The group has become increasingly entrenched in North Africa, especially in northern Mali, which fell earlier this year to Islamist militants allied with al-Qaida.",North Africa,该组织在北非的势力日益强大，尤其是在马里北部。今年早些时候，该地区被与基地组织结盟的伊斯兰激进分子占领。,['北非，'],"['The group has become increasingly entrenched in northern Africa, especially in northern Mali, which fell earlier this year to Islamist militants allied with al-Qaida.']",['northern Africa'],['该组织在北非的势力日益强大，尤其是马里北部。今年早些时候，该地区被与基地组织结盟的伊斯兰激进分子占领。'],['北非，'],['北非，'],"{'northern Africa': 'NO\nDifferent translations: <North Africa: 北非, northern Africa: 北部非洲>'}",
81,"""traffic sign"" (交通标志) means a sign, object or device for conveying to persons using a road any warning, information, direction, requirement, restriction or prohibition;",traffic sign,“交通标志”（traffic sign） 指向使用道路的人传达任何警告、资料、指示、要求、限制或禁止的标志、物体或设备；,['“”trafficsign'],"['""road sign"" (交通标志) means a sign, object or device for conveying to persons using a road any warning, information, direction, requirement, restriction or prohibition;', '""traffic signal"" (交通标志) means a sign, object or device for conveying to persons using a road any warning, information, direction, requirement, restriction or prohibition;']","['road sign', 'traffic signal']","['“交通标志”（road sign） 指向使用道路的人传达任何警告、资料、指示、要求、限制或禁止的标志、物体或装置；', '“交通标志”（traffic signal） 指向使用道路的人传达任何警告、资讯、指示、要求、限制或禁止的标志、物体或设备；']","['“”roadsign', '“”trafficsignal']",['“”trafficsign'],{},
82,"Based on these, a data collection module is developed with friendly user interface aimed at the measure device, the structure of the calibration calculation module is designed and the input, calculation and output functions of calibration data are realized automatically.",user interface,在此基础上，开发了针对测量装置、具有友好用户界面的数据采集模块，设计了校准计算模块的结构，实现了校准数据的自动输入、计算和输出功能。,['用户界面'],"['Based on these, a data collection module is developed with friendly user interaction aimed at the measure device, the structure of the calibration calculation module is designed and the input, calculation and output functions of calibration data are realized automatically.']",['user interaction'],"['在此基础上,针对测量装置开发了具有友好用户界面的数据采集模块,设计了校准计算模块的结构,实现了校准数据的自动输入、计算和输出功能。']",['用户界面'],['用户界面'],"{'user interaction': 'NO\nDifferent translations: <user interface: 用户界面, user interaction: 用户交互>'}",
83,(2) The order bill of lading may be transferred after full endorsement or blank endorsement;,bill of lading,（2）指示提单可以在全背书或空白背书后转让；,['提单'],"['(2) The order number of lading may be transferred after full endorsement or blank endorsement;', '(2) The order form of lading may be transferred after full endorsement or blank endorsement;', '(2) The order order of lading may be transferred after full endorsement or blank endorsement;', '(2) The order bill of wording may be transferred after full endorsement or blank endorsement;', '(2) The order bill of billing may be transferred after full endorsement or blank endorsement;']","['number of lading', 'form of lading', 'order of lading', 'bill of wording', 'bill of billing']","['（2）提单号可以在全额背书或空白背书后转移；', '（2）提单可以全额背书转让，也可以空白背书转让；', '（2）提单可以全额背书或空白背书方式转让；', '（2）汇票转让可以用全额背书转让，也可以用空白背书转让；', '（2）汇票委托书可以全额背书转让，也可以空白背书转让；']","['提单号', '提单', '提单', '汇票', '汇票委托书']",['提单'],"{'form of lading': 'NO\nDifferent translations: <bill of lading: 提单, form of lading: 装货单>', 'order of lading': 'NO\nDifferent translations: <bill of lading: 提单, order of lading: 装货指令>'}",
84,"Efforts to export anti- blasphemy laws to an international level, Hanford said, will exert “a chilling effect ” on the ability to discuss religion openly.",chilling effect,汉福德表示，将反亵渎法输出到国际层面的努力将对公开讨论宗教的能力产生“寒蝉效应”。,['寒蝉效应'],"['Efforts to export anti- blasphemy laws to an international level, Hanford said, will exert “a chilling influence ” on the ability to discuss religion openly.', 'Efforts to export anti- blasphemy laws to an international level, Hanford said, will exert “a chilling impact ” on the ability to discuss religion openly.']","['chilling influence', 'chilling impact']","['汉福德表示，将反亵渎法输出到国际层面的努力将对公开讨论宗教的能力产生“寒蝉效应”。', '汉福德表示，将反亵渎法输出到国际层面的努力将对公开讨论宗教的能力产生“寒蝉效应”。']","['寒蝉效应', '寒蝉效应']",['寒蝉效应'],"{'chilling influence': 'NO\nDifferent translations: <chilling effect: 寒蝉效应, chilling influence: 寒冷影响>.', 'chilling impact': 'NO\nDifferent translations: <chilling effect: 寒蝉效应, chilling impact: 寒冷影响>'}",
85,promotion of family planning to control the population size and improve the health of the people,family planning,推进计划生育，控制人口规模，提高人民健康水平,['计划生育'],"['promotion of health planning to control the population size and improve the health of the people', 'promotion of population planning to control the population size and improve the health of the people']","['health planning', 'population planning']","['推进卫生规划控制人口规模，提高人民健康水平', '推进计划生育，控制人口规模，提高人民健康水平']","['卫生规划', '计划生育']",['计划生育'],"{'population planning': 'NO\nDifferent translations: <family planning: 计划生育, population planning: 人口规划>'}",
86,The famous nerve scientists Gerald M. Edelman and Giulio Tononi make a new analysis and generalization to the problem of consciousness that is noted as a world enigma. They develop the enigma into a subject that is not only fit for philosophical exploration but also for scientific research.,scientific research,著名神经科学家杰拉德·埃德尔曼和朱利奥·托诺尼对被誉为世界之谜的意识问题进行了新的分析和概括，并将这一谜题发展成为一门不仅适合哲学探索而且适合科学研究的课题。,['科学研究。'],"['The famous nerve scientists Gerald M. Edelman and Giulio Tononi make a new analysis and generalization to the problem of consciousness that is noted as a world enigma. They develop the enigma into a subject that is not only fit for philosophical exploration but also for scientific inquiry.', 'The famous nerve scientists Gerald M. Edelman and Giulio Tononi make a new analysis and generalization to the problem of consciousness that is noted as a world enigma. They develop the enigma into a subject that is not only fit for philosophical exploration but also for scientific study.', 'The famous nerve scientists Gerald M. Edelman and Giulio Tononi make a new analysis and generalization to the problem of consciousness that is noted as a world enigma. They develop the enigma into a subject that is not only fit for philosophical exploration but also for scientific investigation.', 'The famous nerve scientists Gerald M. Edelman and Giulio Tononi make a new analysis and generalization to the problem of consciousness that is noted as a world enigma. They develop the enigma into a subject that is not only fit for philosophical exploration but also for scientific exploration.', 'The famous nerve scientists Gerald M. Edelman and Giulio Tononi make a new analysis and generalization to the problem of consciousness that is noted as a world enigma. They develop the enigma into a subject that is not only fit for philosophical exploration but also for scientific discussion.']","['scientific inquiry', 'scientific study', 'scientific investigation', 'scientific exploration', 'scientific discussion']","['著名神经科学家杰拉德·埃德尔曼和朱利奥·托诺尼对被誉为世界之谜的意识问题进行了新的分析和概括，并将这一谜题发展成为一门不仅适合哲学探索而且适合科学研究的课题。', '著名神经科学家杰拉德·埃德尔曼和朱利奥·托诺尼对被誉为世界之谜的意识问题进行了新的分析和概括，并将这一谜题发展成为一门不仅适合哲学探索而且适合科学研究的课题。', '著名神经科学家杰拉德·埃德尔曼和朱利奥·托诺尼对被誉为世界之谜的意识问题进行了新的分析和概括，并将这一难题发展成为一门不仅适合哲学探索而且适合科学研究的课题。', '著名神经科学家杰拉德·埃德尔曼和朱利奥·托诺尼对被誉为世界之谜的意识问题进行了新的分析和概括，并将这一谜题发展成为一门不仅适合哲学探索，也适合科学探索的课题。', '著名神经科学家杰拉德·埃德尔曼和朱利奥·托诺尼对被誉为世界之谜的意识问题进行了新的分析和概括，并将这一谜题发展成为一门不仅适合哲学探索而且适合科学探讨的课题。']","['科学研究。', '科学研究。', '科学研究。', '科学探索。', '科学探讨。']",['科学研究。'],"{'scientific inquiry': ""NO\nDifferent translations: scientific research: ['科学研究'], scientific inquiry: ['科学探究']"", 'scientific study': 'YES', 'scientific investigation': ""NO\nDifferent translations: scientific research: ['科学研究'], scientific investigation: ['科学调查']""}",
87,"if it fails to make corrections within the specified time limit, a request shall be made to the relevant people's government to shut it down within the limits of authority vested by the State Council;",time limit,逾期不改正的，提请有关人民政府按照国务院规定的权限予以关闭；,['逾期，'],"[""if it fails to make corrections within the specified time period, a request shall be made to the relevant people's government to shut it down within the limits of authority vested by the State Council;"", ""if it fails to make corrections within the specified time frame, a request shall be made to the relevant people's government to shut it down within the limits of authority vested by the State Council;""]","['time period', 'time frame']","['逾期不改正的，提请有关人民政府按照国务院规定的权限予以关闭；', '逾期不改正的，提请有关人民政府按照国务院规定的权限予以关闭；']","['逾期，', '逾期，']",['逾期，'],"{'time period': 'NO\nDifferent translations: <time limit: 逾期, time period: 时间段>', 'time frame': 'NO\nDifferent translations: <time limit: 逾期, time frame: 时间范围>'}",
88,Study on a Method and Application of Wetness Measurement on Line for Steam Turbine,steam turbine,汽轮机湿度在线测量方法及应用研究,['汽轮机'],['Study on a Method and Application of Wetness Measurement on Line for a Turbine'],['a Turbine'],['汽轮机湿度在线测量方法及应用研究'],['汽轮机'],['汽轮机'],"{'a Turbine': 'NO\nDifferent translations: <Steam Turbine: 汽轮机, a Turbine: 一个涡轮>'}",
89,rape a woman or have sexual relations with a girl and when the circumstances are odious,sexual relations,强奸妇女或与女孩发生性关系，且情况恶劣,['性关系'],"['rape a woman or have sexual intercourse with a girl and when the circumstances are odious', 'rape a woman or have sexual contact with a girl and when the circumstances are odious']","['sexual intercourse', 'sexual contact']","['强奸妇女或与女孩发生性关系，且情况恶劣', '强奸妇女或与女孩发生性接触，且情况恶劣']","['性关系', '性接触']",['性关系'],"{'sexual intercourse': 'NO\nDifferent translations: <sexual relations: 性关系, sexual intercourse: 性交>'}",
