序号,原句,术语,参考翻译,原句翻译,原句术语翻译,insert变异,insert变异翻译,insert术语翻译,原句术语翻译,请问这组插入变异是否存在术语翻译不一致的错误
90,"The funding made available represents 70 percent of the total amount required for the program(the Mozambican Government has supplied 30 percent) and is for concluding the rebuilding and widening of the country's main road, in the 2007-2009 period, beginning other stretches of road as well as building several bridges.",main road,"['主干道', '大街', '干道', '主要街道', '交通要道', '主要道路', '大路', '主路']",莫桑比克马里兰大学圣塔芭芭拉分校的莫桑比克工程学院院长卡梅伦•莫桑比克说：“莫桑比克政府已提供了30%的资金，用于在2007年至2009年期间完成该国主要公路的重建和拓宽，开始修建其他路段以及建造几座桥梁。”,['主要公路'],"The funding made available represents 70 percent of the total amount required for the program(the Mozambican Government has supplied 30 percent) and is for concluding the rebuilding and widening of the country's main road (a major road in a town or village, or in a country area), in the 2007-2009 period, beginning other stretches of road as well as building several bridges.",莫桑比克交通部部长阿卜杜拉• ...,['交通部•'],['主要公路'],
91,He began to hold quarterly town hall meetings that end with a question and answer session for employees.,town hall,['大会堂'],他开始每季度举行一次员工大会，会议结束时员工可以进行问答。,[''],He began to hold quarterly town hall (the town council) meetings that end with a question and answer session for employees.,他开始每季度召开一次市政厅（镇议会）会议，会议结束时为员工提供问答环节。,['市政厅'],[''],
92,A 51long DNA fragment has been isolated polymerase chain reaction from rice field eel genomic DNA using the primers for amplifying zinc finger repeats 7 to 1of mammalian and reptilian ZFX-related genes.,polymerase chain reaction,['聚合酶链式反应'],使用用于扩增哺乳动物和爬行动物 ZFX 相关基因的锌指重复序列 7 至 1 的引物，通过聚合酶链反应从稻田鳗鱼基因组 DNA 中分离出 51 长的 DNA 片段。,['聚合酶链反应'],A 51long DNA fragment has been isolated polymerase chain reaction (a technique in molecular biology for creating multiple copies of DNA from a sample; used in genetic fingerprinting etc.) from rice field eel genomic DNA using the primers for amplifying zinc finger repeats 7 to 1of mammalian and reptilian ZFX-related genes.,使用用于扩增锌指重复序列 7 至 1 的引物，从稻田鳗鱼基因组 DNA 中分离出 51 长的 DNA 片段。哺乳动物和爬行动物 ZFX 相关基因。,['引物'],['聚合酶链反应'],
93,(ii) is ordered to be detained in an addiction treatment centre under the Drug Addiction Treatment Centres Ordinance (Cap 244);,drug addiction,"['药物成瘾', '吸毒成瘾']",(ii) 根据《戒毒所条例》（第 244 章）被命令羁留在戒毒所；,[''],"(ii) is ordered to be detained in an addiction treatment centre under the Drug Addiction (dependency on drugs, especially which are illegal or improperly procured) Treatment Centres Ordinance (Cap 244);",(ii) 根据《毒瘾（对毒品依赖，尤其是非法或以不正当方式取得的毒品）治疗中心条例》（第 244 章）被命令羁留在戒毒治疗中心；,['毒瘾'],[''],
94,"Article 4Where the registration authority fails to grant registration to an application which meets the conditions prescribed herein, or fails to issue any response after the legally prescribed time limit has expired, the party may apply for administrative review or bring an administrative suit.",time limit,"['时限', '限期']",第四条 登记机关对符合本办法规定条件的申请不予登记，或者逾期未答复的，当事人可以申请行政复议或者提起行政诉讼。,[''],"Article 4Where the registration authority fails to grant registration to an application which meets the conditions prescribed herein, or fails to issue any response after the legally prescribed time limit (a duration beyond which something may not exceed) has expired, the party may apply for administrative review or bring an administrative suit.",第四条 登记机关对符合本办法规定条件的申请不予登记，或者超过法定期限（不得超过期限）未作出答复的，当事人可以申请行政复议。审查或提起行政诉讼。,['法定期限'],[''],
95,"""individual member of the Centre"" (中心的个人会员) means a natural person who is a member of the Centre;",natural person,['自然人'],"""individual member of the Centre"" (中心的个人会员) means a natural person who is a member of the Centre;",['meansanaturalpersonwhoisamemberoftheCentre'],"""individual member of the Centre"" (中心的个人会员) means a natural person (a human being, as opposed to an organization) who is a member of the Centre;",“中心的个人成员”(individual member of the Centre) 指作为中心成员的自然人(人类，而非组织)；,['自然人'],['meansanaturalpersonwhoisamemberoftheCentre'],
96,"Estimates show that the internal debt to gross domestic product(GDP) ratio will thus see a substantial decrease, to 23.4 percent of GDP in 2007, as compared with 27.5 percent in 2006.",gross domestic product,['国内生产总值'],预计，2007年内债占GDP的比率将大幅下降，从2006年的27.5%降至23.4%。,[''],"Estimates show that the internal debt to gross domestic product (a measure of the economic production of a particular territory in financial capital terms over a specific time period)(GDP) ratio will thus see a substantial decrease, to 23.4 percent of GDP in 2007, as compared with 27.5 percent in 2006.",估计结果显示，内部债务与国内生产总值（衡量特定地区在特定时期内金融资本方面的经济产出）之比将大幅下降，2007年将降至国内生产总值的23.4%，而2006年则为27.5%。,['国内生产总值'],[''],
97,"The Sino-Japanese relations had roughly passed through three periods, naming Breakthrough Period (1972-1978), Honeymoon Period (1978-1989) and Adjusting Period (1989-1998), from 1972 when the Sino-Japanese diplomatic relations normalized to 1998, the 20 years' anniversary of the Sino-Japanese Peace and Amity Treaty's endorsement.",diplomatic relations,"['外交关系', '国交', '邦交']",从1972年中日邦交正常化开始，到1998年中日和平友好条约缔结20周年，中日关系大致经历了突破期（1972—1978年）、蜜月期（1978—1989年）和调整期（1989—1998年）三个时期。,['中日关系'],"The Sino-Japanese relations had roughly passed through three periods, naming Breakthrough Period (1972-1978), Honeymoon Period (1978-1989) and Adjusting Period (1989-1998), from 1972 when the Sino-Japanese diplomatic relations (diplomatic intercourse between nations, including the mutual presence of diplomatic missions) normalized to 1998, the 20 years' anniversary of the Sino-Japanese Peace and Amity Treaty's endorsement.",中日关系从1972年中日邦交（包括两国间外交交往，互设外交使团）正常化开始，到1998年中日和平友好条约缔结20周年，大致经历了突破期（1972—1978年）、蜜月期（1978—1989年）和调整期（1989—1998年）三个时期。,[''],['中日关系'],
98,"Aijia Real Estate Information Co., Ltd, Huludao",real estate,"['空间', '余地', '不动产', '房地产', '地方']","Aijia Real Estate Information Co., Ltd, Huludao",['AijiaRealEstateInformationCo'],"Aijia Real Estate (space used for a particular purpose) Information Co., Ltd, Huludao",葫芦岛爱家置业（专用空间）信息有限公司,['置业'],['AijiaRealEstateInformationCo'],
99,Will the youngsters who did so well at the back end of last season just be destined for bit-part appearances as substitutions and in the Carling Cup?,back end,['后端'],上赛季末表现出色的年轻球员是否注定只能以替补球员身份和在联赛杯中出场呢？,['末'],"Will the youngsters who did so well at the back end (the rear, back, or unseen portion (of something)) of last season just be destined for bit-part appearances as substitutions and in the Carling Cup?",上赛季在后场表现出色的年轻人是否注定只能以替补队员的身份和在联赛杯中出场呢？,['后场'],['末'],
